,date,id,meals,occasion
171,1900-03-30,12662.0,UNKNOWN,UNKNOWN
172,1900-03-30,12663.0,UNKNOWN,UNKNOWN
173,1900-03-30,12665.0,UNKNOWN,UNKNOWN
174,1901-06-06,12666.0,UNKNOWN,UNKNOWN
175,1901-06-06,12668.0,UNKNOWN,UNKNOWN
176,1901-06-06,12669.0,UNKNOWN,UNKNOWN
177,1901-06-06,12670.0,UNKNOWN,UNKNOWN
178,1901-06-06,12671.0,UNKNOWN,UNKNOWN
179,1901-06-06,12672.0,UNKNOWN,UNKNOWN
180,1901-06-07,12673.0,UNKNOWN,UNKNOWN
181,1900-08-21,12674.0,UNKNOWN,UNKNOWN
182,1900-08-21,12675.0,UNKNOWN,UNKNOWN
183,1900-02-26,12678.0,UNKNOWN,UNKNOWN
184,1900-05-14,12688.0,UNKNOWN,UNKNOWN
185,1900-03-12,12689.0,UNKNOWN,UNKNOWN
186,1900-03-13,12694.0,UNKNOWN,UNKNOWN
187,1900-03-30,12695.0,UNKNOWN,UNKNOWN
188,1900-03-31,12696.0,UNKNOWN,UNKNOWN
189,1900-03-31,12697.0,UNKNOWN,UNKNOWN
190,1900-03-31,12698.0,UNKNOWN,UNKNOWN
191,1900-03-31,12700.0,DAILY,UNKNOWN
192,1900-03-31,12702.0,DAILY,UNKNOWN
193,1900-04-01,12703.0,BREAKFAST,UNKNOWN
194,1900-04-01,12704.0,DAILY,UNKNOWN
195,1900-04-01,12705.0,DINNER,UNKNOWN
196,1900-04-01,12706.0,BREAKFAST,UNKNOWN
197,1900-04-02,12708.0,BREAKFAST,UNKNOWN
198,1900-04-03,12709.0,BREAKFAST,UNKNOWN
199,1900-08-22,12710.0,BREAKFAST,UNKNOWN
200,1900-08-22,12711.0,LUNCH,UNKNOWN
201,1900-08-23,12712.0,UNKNOWN,UNKNOWN
202,1900-08-24,12713.0,DINNER,UNKNOWN
203,1900-08-24,12714.0,DINNER,UNKNOWN
204,1900-11-02,12715.0,DINNER,EVENT
205,1900-11-02,12716.0,LUNCH,UNKNOWN
206,1900-11-03,12717.0,BANQUET,UNKNOWN
207,1900-11-03,12718.0,DINNER,UNKNOWN
208,1900-11-05,12719.0,DINNER,UNKNOWN
209,1900-05-14,12722.0,BREAKFAST,UNKNOWN
210,1900-05-14,12723.0,DINNER,UNKNOWN
211,1900-05-14,12724.0,DAILY,UNKNOWN
212,1900-05-15,12725.0,BREAKFAST,UNKNOWN
213,1900-05-15,12726.0,LUNCH,UNKNOWN
214,1900-05-16,12728.0,BREAKFAST,UNKNOWN
215,1900-05-16,12729.0,DINNER,UNKNOWN
216,1900-11-13,12731.0,DAILY,UNKNOWN
217,1900-11-13,12732.0,BREAKFAST,UNKNOWN
218,1900-11-13,12733.0,DINNER,UNKNOWN
219,1900-02-20,12736.0,LUNCH,UNKNOWN
220,1900-02-20,12737.0,DAILY,UNKNOWN
